,SentimentText,prediction
0,"Staff have always been very friendly. The line can be a bit much at times, but is always handled quickly.",0
1,"The pitas themselves are always very good.""",0
2,Very Bad experience !,0
3,Chicken wrap was great,0
4,Chicken shawarma wrap has all the taste of shawarma without garlic aftertaste,0
5,cute place on a side street - really only serving the locals around the woodbinedanforth area. bf ordered a coffee here that he thought was pretty goodthey seem to have smoothies and fresh juices as welland nifty rice bowls will be back to try out the juices and food. seems to be a quiet place to chill for a couple of hours.,0
6,atmosphere for this restaurant is nice but service not so much came here for a friend's birthdayalthough we made reservations and checked in a few minutes early we still had to wait a good 45 minutes before sitting down at our tablewhen we made the reservations we were informed we would have to leave a certain time - which we didn't think they would enforce considering we did not get our table in timehowever they did and we were not impressed. the space in the restaurant is also very tight my boyfriend got hit in the head a few times while sitting at the table. i had ordered a seafood pasta dish which was kind of bland (not much flavour)my boyfriend had ordered one of the specials of the night - filet mignon which also was not up to par. overall i've had better pastai'm not sure if it was just the two dishes i had that wasn't up to par as my other friends did enjoy theirs.,0
7,the loud banging always draws crowds as you walk by and see that the chef is making fresh noodlesnoodles are delicious and you definitely need to make sure you save room in your stomach for this when you come to pacific mall! after trying a few things on the menu - the true favourite is still the dan dan noodlesthere is something about the spicy peanut sauce soup base that makes it so flavourfulplus when you add their homemade chili oil - it makes it so good. because of sun's dan dan noodles - my bf and i will always order the dan fan noodle whenever we see it on the menu but so far no one has the same flavour as sun'ssun's is the best we have had!!!,0
8,found this bakery while wandering on queen street - it was hidden on a side street. walked inside to check it out and it was very quaint insidelots of varietywe had gotten a loaf of brioche bread - it was so goodsoft and sweet - just the way it should be. they have lots of other bread that i can't wait to go back and try!,0
9,terrible service and not so great drinks. we happen to be in the plaza and saw this place for bubble tea so we decided to grab a few to go. first of all the two menus is located in a very awkward place (one very high up on the wall and one in the corner also by the wall) set up is not really friendly neither can it accommodate a large group of people to look at the menu at the same time. the menu items itself had different options than your typically bubble tea placetheir specialty are mousse drinks - which we had no idea what exactly it wasso when we asked the staff they said it was some sort of cheese for a sunday afternoon they were also out of grass jelly and pudding which are ingredients in quite a few of their drinks (so not sure how that works). the service is really bad they don't understand english so when you asked them about the menu items they can't really explain what they are. we had ordered the following- slush mango (came with tapioca and mousse)- peach ice tea- roasted oolong milk tea- supernova kumquat lemonade and when we asked what the difference between a supernova kumquat lemonade under the galaxy drinks section (which are supposed to be layered drinks) and the kumquat lemonade they said it had a layer of blue mousse - so we were like ok we will try it thenbut what came was just a bigger cup size of the kumquat lemonadewhen we asked them again they said it was just a size difference that's what makes it supernova - which is pretty dumb to me as on the menu both items had the same two size choices of regular or large the mango slush and the roasted oolong milk tea wasn't badbut the other two was not that greatthe tea had a big floral taste that overpowered everythingthere was no peach taste in the peach ice teathe kumquat one had no kumquat taste and was just bitter from the lime and it tasted like it had no sugar in it at all. i guess if you need a non-busy place to use wifi and work then this is the place no one wants to come here. also - their gimmick also seems to be the lightbulb drinks which were intriguing to us but you are not allowed to take the lightbulb home we will definitely not be returning,1
10,worse customer service evermanager on duty was rudeshe didn't care that i had negative feelings about this place when i said that i would never come back again!restaurant has gone downhill since they renovated!!,0
11,my boyfriend took me here for my birthdayat first i wasn't impress that it was a 45 mins wait however my bf really wanted to try this piece so we decided to wait. it was definitely different and worth the wait we started off with the house cured meat - it was good - but definitely too much for just 2 people to share (and no need to order the extra bread if it's only two people). next came the roasted bone marrow - which is amazing and definitely worth orderinghad we not ordered so many other dishes we would have ordered a second round of thiswho knew bone marrow could be this tasty!! then came the spicy horse tartare which we thought was intriguing as we have never heard so we had ordered itwhen it showed up it was like a saladwasn't bad worth trying but probably only a one-time thing for us. tongue on brioche is definitely another worth orderingit is a sandwich that tasted like a montreal smoked meat sandwichso good that it melts in your mouth - so soft and tenderif it wasn't because we had ordered so much food and this was the last main course that showed up we would have devoured it. for dessert we had ordered the foie and nutella as we thought this was very interestingit was good but after 4 dishes already this was just a little too richit came with banana bread that was really good. overall definitely worth the try! just make sure you bring cash =),0
